Model,Best Epoch,Validation Loss,F1 Score,Precision,Recall
OnsetsAndFrames(Concat),19,0.0183988,0.9243438125032053,1.0,0.861375251855128
CrossAttentionOnsetsAndFrames,18,0.0426275,0.9261896718146717,0.9852941176470589,0.8760811342080691
